mr,utt
"name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Café Sicilia]","located next to _|near|_ on the river in city centre is a five star rated, family friendly _|eatType|_ that serves moderately priced burger and fries called _|name|_."
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",for a cheap _|eatType|_ in _|area|_ go to _|name|_.  it's family-friendly near _|near|_ and serves _|food|_.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",family friendly _|eatType|_ _|name|_ situated _|area|_ near the _|near|_.  offering great food at cheap prices.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]","cheaply priced, _|area|_ _|eatType|_ _|name|_ is the _|food|_ alternative to nearby _|near|_,  scoring a top customer rating despite not being family-friendly."
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]","_|name|_ _|eatType|_ sells cheap _|food|_. located in the _|area|_ near _|near|_, it is not recommended for families."
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]","_|name|_ is a cheap _|eatType|_ in the _|area|_. located near a _|near|_, it also serves _|food|_ and is rated 5 out of 5 by customers. however, it is not family-friendly."
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]",_|name|_ located near _|near|_ serves cheap _|eatType|_ _|food|_.  it has a 5 out of 5 rating but not family-friendly.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]","_|name|_ serves cheap _|food|_.  located near the _|near|_, it is not family-friendly.  great rating of 5 out of 5."
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]",_|name|_ is a cheap _|eatType|_ that also serves _|food|_. it is located in the _|area|_ near a _|near|_. customers rate it a 5 out of 5. it is not family-friendly.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]","if you're looking for a cheap, family-friendly _|food|_ _|eatType|_, with an excellent customer rating of 5 out of 5, then go to _|name|_ located near _|near|_ in the _|area|_."
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]","_|name|_ is a family-friendly _|food|_ restaurant near _|near|_. it serves coffee, price range is cheap and has a high customer rating."
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]",in the _|area|_ near _|near|_ there's a cheap _|food|_ _|eatType|_ named _|name|_.  it is family-friendly with a customer rating of 5 out of 5.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]",_|name|_ is a _|eatType|_ located near _|near|_ that serves _|food|_. it  has a 5 out of 5 customer rating and is located in _|area|_.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]",_|name|_ is a cheap family-friendly _|food|_ _|eatType|_ in the _|area|_ near _|near|_.  they are family-friendly with a 5 out of 5 customer rating.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]","_|name|_ is a low-priced, family-friendly, _|food|_ restaurant and _|eatType|_ with a great customer rating of 5 out of 5. it is located near _|near|_ in the _|area|_."
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]","_|name|_ is a low-priced _|eatType|_ serving _|food|_, located by the _|area|_ near _|near|_. it caters to adults and its customer rating is 5 out of 5."
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]","at _|area|_ near _|near|_, there is a _|eatType|_ called _|name|_ which provides _|food|_. it is not family-friendly and is in the cheap price range. its customer rating is 5 out of 5."
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]","_|name|_ is a _|eatType|_ that provides _|food|_. it is located at _|area|_ near _|near|_. it is not family-friendly, in the cheap price range and has a customer rating 5 out of 5."
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]","located at the _|area|_ near _|near|_, _|name|_ is a _|food|_ _|eatType|_  with great ratings, and cheap prices. _|name|_ offers a quiet setting with no amenities for children."
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]",in the _|area|_ area near _|near|_ is a low-cost _|eatType|_ named _|name|_.  it serves _|food|_ catered towards adults and rates 5 out of 5.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]",_|name|_ is a _|eatType|_  offering _|food|_ at great prices. it has gotten fantastic reviews. _|name|_ is located _|area|_ near _|near|_.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]","located near _|near|_ in _|area|_, _|name|_ is a _|eatType|_ that is highly rated by customers. welcoming customers of all ages and keeping prices low, this _|food|_ restaurant is worth the visit."
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]",_|name|_ is a low-price family friendly _|eatType|_ located next to _|near|_.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]",_|name|_ is a _|eatType|_ providing food in the low range price.  it is family friendly and is located near _|near|_.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]",a cheap family friendly _|eatType|_ near _|near|_ serving _|food|_ in _|area|_ would be _|name|_ with cheap prices and a perfect rating of 5 out of 5.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]","_|name|_ is a highly rated, family friendly, _|food|_ location. though it is located in _|area|_ near _|near|_, _|name|_ comes in as a cheap _|eatType|_."
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]",_|name|_ _|eatType|_ offers excellent value for money and an excellent service backed up by its 5 out of 5 customer ratings. located in _|area|_ next to _|near|_ its ideal for those wanting a quick bite to eat.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]","_|name|_ is a low-cost, _|food|_, 5-star, _|eatType|_ located near the _|near|_ by the river."
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]","_|name|_ is an amazing low-cost, family friendly _|eatType|_ that serves food fast. it is located near the _|near|_ by the river."
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]",_|name|_ is a family friendly _|eatType|_ also serving _|food|_ in _|area|_ near _|near|_ and has been rated 5 out of 5.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]",_|name|_ is a low-price _|eatType|_ located north of city centre near _|near|_.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]",there is a _|eatType|_ near _|near|_ that provides cheap food.  it is called _|name|_.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[Café Sicilia]","_|name|_ _|eatType|_ is near _|near|_ in the _|area|_ that isn't family friendly, is average and has _|food|_."
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[Café Sicilia]",_|name|_ is an average non family-friendly _|eatType|_ that has _|food|_ near _|near|_ in the _|area|_.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[Café Sicilia]","near the _|near|_ in the _|area|_, there is a cheap, non-family-friendly _|food|_ and _|eatType|_ named _|name|_."
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[Café Sicilia]","_|name|_ is a fast-food _|eatType|_ near _|near|_ in the center of the city. while the shop holds an average customer rating and has a cheap price range, it is not a family-friendly place."
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[Café Sicilia]","_|name|_ is a fast-food _|eatType|_ located in the center of the city near _|near|_. while the prices are cheap, the _|eatType|_ is not family-friendly, although it does hold an average customer rating."
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[Café Sicilia]",_|name|_ is a cheap _|food|_ and _|eatType|_ establishment located in the _|area|_ near _|near|_.  it is not kid-friendly.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[Café Sicilia]","_|name|_, cheap and family-friendly, is a _|eatType|_ that serves _|food|_.  near _|near|_ it is in the _|area|_."
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[Café Sicilia]",_|name|_ is a _|eatType|_ that serves _|food|_.  it is in the _|area|_ near _|near|_.  it is cheap and family-friendly.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[Café Sicilia]","located near _|near|_ in _|area|_, _|name|_ serves cheaply priced _|food|_ in a family-friendly _|eatType|_."
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[Café Sicilia]","the family-friendly _|eatType|_ and _|food|_ place named _|name|_, is near _|near|_ in the _|area|_, has a cheap price range and an average customer rating."
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[Café Sicilia]","_|name|_, a cheaply-priced _|eatType|_, is located in centre city near _|near|_. they serve _|food|_ in a family-friendly environment."
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[Café Sicilia]","the _|food|_ place with an average customer rating, _|name|_, is near _|near|_ in the city center, has a cheap price range and is a family-friendly _|eatType|_."
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[Café Sicilia]",_|name|_ is near _|near|_ on _|area|_ that serves _|food|_. they are cheap and for the family. _|eatType|_ style food.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[Café Sicilia]","not family-friendly, _|name|_ is located _|area|_ near _|near|_, and has an average customer rating. _|food|_ with a low price range."
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[Café Sicilia]",_|name|_ is a _|food|_ _|eatType|_ with an average customer rating. it is _|area|_ near _|near|_ with a cheap price range. it is not family-friendly
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[Café Sicilia]",the _|food|_ _|eatType|_ called _|name|_ located in _|area|_ near _|near|_ is not family-friendly but is cheap and has a average customer rating.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[Café Sicilia]",there is a _|eatType|_ style food called _|name|_ it's _|food|_ on _|area|_ near _|near|_ it is cheap and for the family.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[Café Sicilia]","there is a _|eatType|_ called _|name|_ near _|near|_ in _|area|_ which has cheap _|food|_, an average customer rating but is not family-friendly."
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Café Sicilia]",_|name|_ is an inexpensive _|eatType|_ which serves burgers and fries located along the river near _|near|_. it has three-stars and is family-friendly.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Café Sicilia]","located in _|area|_ near _|near|_, _|name|_, with an average customer rating, is a family friendly _|food|_ serving _|eatType|_ with a cheap price range."
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Café Sicilia]","_|name|_ _|eatType|_ has a good offer on soft drinks, potato fries and burgers. the quality is all right for the money and it is a family friendly local, nearby _|near|_."
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Café Sicilia]",_|name|_ is a family friendly _|food|_ serving coffee ship with cheap price range and an average customer rating.  it is located in _|area|_ near _|near|_.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Café Sicilia]","_|name|_ is an average, family friendly, and inexpensive _|food|_  option in _|area|_.  you can find this _|eatType|_ near _|near|_."
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Café Sicilia]","_|name|_ is located near _|near|_ in the _|area|_ area. _|name|_ is a very delegate _|eatType|_ that is family friendly and offers _|food|_, the customer rating is average and the prices are cheap."
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Café Sicilia]","you won't pay much for fries, burgers and soft drinks at _|name|_ _|eatType|_, the quality is all right and it is close to _|near|_."
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Café Sicilia]",near _|near|_ in _|area|_ you will find _|name|_.  it is your average _|eatType|_ with inexpensive _|food|_ options and a family friendly environment.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Café Sicilia]",_|name|_ is a family-friendly affordable _|eatType|_ located north of the city centre by the _|near|_.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Café Sicilia]",_|name|_ is a low priced _|eatType|_ located near the _|near|_ by the river.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Café Sicilia]",near _|near|_ is located _|name|_. this can be found in the _|area|_ area. _|name|_ is a family friendly _|eatType|_ with great prices and average customer service.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]","_|name|_ is a _|eatType|_ situated near _|near|_ in the _|area|_. with a poor customer rating of 1 out of 5, a high price range, and a no for children, it's not the best of options."
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]",_|name|_ is a non-children friendly _|food|_ _|eatType|_ in the _|area|_ near _|near|_ with a customer rating of 1 out of 5 and has a high price range.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]","_|name|_ is a _|area|_ _|eatType|_ near _|near|_. it doesn't have that much going for it with a score of 1 out of 5 from customers, a high price range, and no, it's not friendly to children."
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]",_|name|_ is a non-children friendly _|food|_ _|eatType|_ in the _|area|_ near _|near|_ with a high price range and has a customer rating of 1 out  of 5.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]",there is an expensive _|eatType|_ _|name|_ that provides _|food|_. it is located in the center of the city near _|near|_. it has 1 out of 5 customer ratings and is friendly to families.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]","in the _|area|_ area, near _|near|_ is a children friendly _|food|_ _|eatType|_ named _|name|_. it has a high price range and a 1 out of 5 customer rating."
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]",_|name|_ is a children friendly _|food|_ _|eatType|_ near _|near|_ in the _|area|_ area. it has a 1 out of 5 customer rating and a high price range.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]","in the _|area|_, there is a coffee-shop called _|name|_. it offers a children friendly fast-food alternative to nearby _|near|_. however, it falls within a high price range, and is only rated 1 out of 5 from customers."
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]","_|name|_ is a more expensive, children-friendly, fast-food _|eatType|_ located near _|near|_ in the _|area|_. customers have rated the location 1 out of 5."
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]","_|name|_ is a family-friendly _|eatType|_ that offers _|food|_. it has a low customer rating, is located in _|area|_, near _|near|_, and is expensive."
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]","with high pricing and a customer rating of 1 out of 5, _|name|_ is a non child friendly _|food|_ _|eatType|_ located near _|near|_, _|area|_."
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]",_|name|_ is a _|eatType|_ providing _|food|_ in the high price range. it is located near of _|near|_.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]","leave the kids at home, while you quickly feed your needs at _|name|_.  this 1 out of 5 establishment is near _|near|_ in _|area|_ and is also very expensive coffee."
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]","leave the kids at home, while you quickly feed your needs at _|name|_.  this 1 out of 5 establishment is near _|near|_ in _|area|_ and is also very expensive coffee."
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]","_|name|_ is a _|eatType|_ located in the area of _|area|_, near  of _|near|_."
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]","_|name|_ is a _|eatType|_ near _|near|_, _|area|_. they serve _|food|_, with high pricing. they aren't child friendly and have a customer rating of 1 out of 5."
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]",_|name|_ is a _|food|_ restaurant providing take-away deliveries in the high price range. it is located after _|near|_ .
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]","with a high price range and a low customer rating, _|name|_ is a family friendly _|eatType|_ near _|near|_ by a _|area|_ in the city centre."
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]",_|name|_ is a kid friendly _|eatType|_ and _|food|_ restaurant near _|near|_ with a low customer rating.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]",_|name|_ is a family friendly _|eatType|_ offering _|food|_. it has a one star rating and is in the high price range. it is located near to _|near|_.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]",the high priced _|name|_ _|eatType|_ is currently rated 1 out of 5 by its customers.  _|name|_ is located in the _|area|_ area near _|near|_.  yes _|name|_ is child friendly
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]",_|name|_ is a high cost _|food|_ child friendly _|eatType|_ near _|near|_  in the _|area|_ area with low  customer rating
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]","_|name|_ is a family friendly _|eatType|_ near _|near|_ by a _|area|_ in the city centre, with a high price range and low customer rating."
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]",_|name|_ _|eatType|_ is rated 1 out of 5 by its customers.   _|name|_ is high priced.   _|name|_ is situated near _|near|_ in the _|area|_ area.  children friendly - yes.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]",near _|near|_ by the _|area|_ is a kid friendly _|eatType|_ and _|food|_ restaurant named _|name|_.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]",_|name|_ is a one star family friendly _|eatType|_ offering _|food|_. it is in the high price range and near to _|near|_.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]",_|name|_ is a high cost _|food|_ child friendly _|eatType|_  in the _|area|_ area near _|near|_ with low  customer rating
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[Café Sicilia]",_|name|_ is a _|eatType|_ near the _|near|_ in the _|area|_. the price range is high and the customer ratings are average for this _|food|_ establishment. bringing children is not recommended.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[Café Sicilia]",_|name|_ near _|near|_ in _|area|_ serves coffee and _|food|_ with a high price range and is aimed towards adults.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[Café Sicilia]",_|name|_ in _|area|_ has an average rating and serves coffee and _|food|_ with a high price range  near _|near|_ and is not child friendly.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[Café Sicilia]","_|name|_, is a _|eatType|_ located in the centre of the city near _|near|_; serving _|food|_ in the high price range. is not child-friendly venue and customer ratings are average."
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[Café Sicilia]",_|name|_ is a trendy _|eatType|_ with about average ratings. they offer higher priced _|food|_ items. this is an adult only establishment. it is located in the _|area|_ near the _|near|_.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[Café Sicilia]","in _|area|_ near _|near|_ is _|name|_; a non-child friendly _|eatType|_. food is fast, price is high and average customer ratings."
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[Café Sicilia]","_|name|_ is a _|eatType|_ with a service of _|food|_, in _|area|_ near of _|near|_"
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[Café Sicilia]","if you are looking for a high quality, family-friendly dining experience in the heart of _|area|_, _|name|_ is for you. this _|eatType|_ i near _|near|_ and serves fast-food like it's gourmet."
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[Café Sicilia]","_|name|_ is located near _|near|_, in _|area|_, it's a family-friendly _|eatType|_ with an average rating that serves _|food|_."
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[Café Sicilia]","_|name|_ located in centre city very close of _|near|_, is a _|eatType|_ with a high price range"
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[Café Sicilia]","_|name|_ is a _|eatType|_ that serves high priced _|food|_. near _|near|_ in _|area|_, the place is children friendly and the customers rate it average."
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[Café Sicilia]","_|name|_ is a fun and family-friendly _|food|_ _|eatType|_ located in the _|area|_, near _|near|_, with high quality food that merits a pretty penny."
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[Café Sicilia]","_|name|_ is a _|eatType|_,  located in the area of _|area|_, near the _|near|_."
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[Café Sicilia]","_|name|_ is a _|eatType|_,  located in the area of _|area|_, near the _|near|_."
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[Café Sicilia]","_|name|_, is a _|food|_ _|eatType|_ - not child friendly, with a high price range and average customer rating in the _|area|_ area, near _|near|_"
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[Café Sicilia]",_|name|_ is a _|food|_ _|eatType|_ in the _|area|_ area near _|near|_.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[Café Sicilia]",_|name|_ is based in the _|area|_ area near _|near|_. it offers _|food|_.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[Café Sicilia]","near _|near|_, _|name|_, is a _|food|_ _|eatType|_ - not child friendly, with a high price range and average customer rating in the _|area|_ area,"
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[Café Sicilia]","for an child friendly, average _|eatType|_ serving _|food|_ try _|name|_, _|area|_ near _|near|_"
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[Café Sicilia]",_|name|_ is a family friendly _|eatType|_ located near _|near|_.  it has 3 stars.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[Café Sicilia]",_|name|_ is a family friendly _|eatType|_ with average customer ratings that serves _|food|_. it is an above average price _|eatType|_ and it is in _|area|_ near _|near|_.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[Café Sicilia]",_|area|_ has a child friendly quick service _|eatType|_ called _|name|_. it has a average customer rating and is in the high price range. it is located near _|near|_.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[Café Sicilia]",_|name|_ is a fast service _|eatType|_ in _|area|_. it is child friendly and is in the high price range. it is located near _|near|_ and has an average rating.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[Café Sicilia]","_|name|_, located near the _|near|_, is an upscale, family-friendly _|eatType|_ offering tasty burgers and fries. it is several blocks from the city center."
